,,,,,,,,Diagnóstico,Datos PAES (2023 en adelante),,,,,,,,Datos PSU (Hasta 2022),,,,,,,
Año,Semestre,Bimestre,Cód. Asig.,Módulo,Nombre Asignatura,Nota Final,Estado Final,% Aciertos Diag. Matem.,PAES C. Lectora,PAES M1,PAES M2,PAES Historia,PAES Ciencias,NEM (PAES),Ranking (PAES),Prom. M1 y C. Lectora,PSU Lenguaje,PSU Matemáticas,PSU Historia,PSU Ciencias,NEM (PSU),Ranking (PSU),Prom. Leng. Y Mat.,Año Ingreso UFRO
2022,1,1,IME027,1,PRECÁLCULO I,"4,4",APROBADA,,,,,,,,,,545,630,0,544,698,709,"587,5",2022
2022,1,1,IME027,1,PRECÁLCULO I,"4,6",APROBADA,,,,,,,,,,589,627,0,570,648,668,"608,0",2022
2022,1,1,IME027,1,PRECÁLCULO I,"4,9",APROBADA,,,,,,,,,,600,713,0,613,742,751,"656,5",2022
2022,1,1,IME027,1,PRECÁLCULO I,"6,2",APROBADA,,,,,,,,,,715,664,0,696,637,642,"689,5",2022
2022,1,1,IME027,1,PRECÁLCULO I,"1,0",REPROBADA,,,,,,,,,,628,590,0,573,632,657,"609,0",2022
2022,1,1,IME027,1,PRECÁLCULO I,"1,4",REPROBADA,,,,,,,,,,567,540,0,447,534,534,"553,5",2022
2022,1,1,IME027,1,PRECÁLCULO I,"2,0",REPROBADA,,,,,,,,,,516,501,0,470,654,672,"508,5",2022
2022,1,1,IME027,1,PRECÁLCULO I,"2,0",REPROBADA,,,,,,,,,,569,579,0,562,482,483,"574,0",2022
2022,1,1,IME027,1,PRECÁLCULO I,"2,2",REPROBADA,,,,,,,,,,473,509,0,388,588,588,"491,0",2022
2022,1,1,IME027,1,PRECÁLCULO I,"2,5",REPROBADA,,,,,,,,,,535,466,0,579,604,613,"500,5",2022
2022,1,1,IME027,1,PRECÁLCULO I,"2,7",REPROBADA,,,,,,,,,,698,602,595,553,731,752,"650,0",2022
2022,1,1,IME027,1,PRECÁLCULO I,"2,9",REPROBADA,,,,,,,,,,488,583,0,467,560,560,"535,5",2022
2022,1,1,IME027,1,PRECÁLCULO I,"3,4",REPROBADA,,,,,,,,,,559,662,0,611,676,699,"610,5",2022
2022,1,1,IME027,1,PRECÁLCULO I,"3,7",REPROBADA,,,,,,,,,,535,574,0,551,578,599,"554,5",2022
2022,1,1,IME027,1,PRECÁLCULO I,"4,0",APROBADA,"56,67",,,,,,,,,628,653,0,590,659,664,"640,5",2022
2022,1,1,IME027,1,PRECÁLCULO I,"4,1",APROBADA,"40,00",,,,,,,,,608,612,0,618,621,627,"610,0",2019
2022,1,1,IME027,1,PRECÁLCULO I,"4,2",APROBADA,"23,33",,,,,,,,,545,516,0,478,665,673,"530,5",2022
2022,1,1,IME027,1,PRECÁLCULO I,"4,2",APROBADA,"46,67",,,,,,,,,698,656,0,642,735,795,"677,0",2022
2022,1,1,IME027,1,PRECÁLCULO I,"4,4",APROBADA,"26,67",,,,,,,,,666,662,0,641,717,787,"664,0",2021
2022,1,1,IME027,1,PRECÁLCULO I,"4,4",APROBADA,"40,00",,,,,,,,,660,700,0,619,702,716,"680,0",2022
2022,1,1,IME027,1,PRECÁLCULO I,"4,8",APROBADA,"23,33",,,,,,,,,602,634,543,582,807,818,"0,0",2022
2022,1,1,IME027,1,PRECÁLCULO I,"4,8",APROBADA,"26,67",,,,,,,,,551,563,0,592,667,677,"557,0",2021
2022,1,1,IME027,1,PRECÁLCULO I,"4,8",APROBADA,"56,67",,,,,,,,,660,690,0,635,764,796,"675,0",2022
2022,1,1,IME027,1,PRECÁLCULO I,"4,9",APROBADA,"23,33",,,,,,,,,690,658,0,639,746,760,"674,0",2022
2022,1,1,IME027,1,PRECÁLCULO I,"4,9",APROBADA,"30,00",,,,,,,,,606,678,574,659,774,809,"642,0",2022
2022,1,1,IME027,1,PRECÁLCULO I,"5,2",APROBADA,"23,33",,,,,,,,,554,703,503,610,724,729,"628,5",2022
2022,1,1,IME027,1,PRECÁLCULO I,"5,2",APROBADA,"56,67",,,,,,,,,653,674,712,584,801,850,"663,5",2022
2022,1,1,IME027,1,PRECÁLCULO I,"5,6",APROBADA,"6,67",,,,,,,,,574,669,491,600,735,766,"621,5",2022
2022,1,1,IME027,1,PRECÁLCULO I,"5,7",APROBADA,"36,67",,,,,,,,,511,676,0,637,666,751,"593,5",2022
2022,1,1,IME027,1,PRECÁLCULO I,"5,9",APROBADA,"46,67",,,,,,,,,745,713,0,671,742,760,"729,0",2022
2022,1,1,IME027,1,PRECÁLCULO I,"1,6",REPROBADA,"30,00",,,,,,,,,483,546,0,419,753,774,"514,5",2022
2022,1,1,IME027,1,PRECÁLCULO I,"1,8",REPROBADA,"33,33",,,,,,,,,458,568,433,438,557,563,"513,0",2022
2022,1,1,IME027,1,PRECÁLCULO I,"1,8",REPROBADA,"36,67",,,,,,,,,407,560,0,527,539,548,"483,5",2022
2022,1,1,IME027,1,PRECÁLCULO I,"1,8",REPROBADA,"36,67",,,,,,,,,515,540,0,537,535,581,"527,5",2021
2022,1,1,IME027,1,PRECÁLCULO I,"2,0",REPROBADA,"30,00",,,,,,,,,511,586,0,506,556,571,"548,5",2022
2022,1,1,IME027,1,PRECÁLCULO I,"2,1",REPROBADA,"26,67",,,,,,,,,567,598,0,541,706,742,"582,5",2021
2022,1,1,IME027,1,PRECÁLCULO I,"2,1",REPROBADA,"36,67",,,,,,,,,422,544,0,449,528,528,"483,0",2019
2022,1,1,IME027,1,PRECÁLCULO I,"2,2",REPROBADA,"6,67",,,,,,,,,488,596,0,529,753,768,"542,0",2022
2022,1,1,IME027,1,PRECÁLCULO I,"2,2",REPROBADA,"26,67",,,,,,,,,595,576,0,590,654,680,"585,5",2022
2022,1,1,IME027,1,PRECÁLCULO I,"2,3",REPROBADA,"33,33",,,,,,,,,574,628,0,607,603,600,"601,0",2021
2022,1,1,IME027,1,PRECÁLCULO I,"2,4",REPROBADA,"20,00",,,,,,,,,554,614,0,584,713,734,"584,0",2022
2022,1,1,IME027,1,PRECÁLCULO I,"2,5",REPROBADA,"23,33",,,,,,,,,497,590,574,584,680,701,"543,5",2022
2022,1,1,IME027,1,PRECÁLCULO I,"3,0",REPROBADA,"33,33",,,,,,,,,535,540,533,332,724,742,"537,5",2022
2022,1,1,IME027,1,PRECÁLCULO I,"3,2",REPROBADA,"23,33",,,,,,,,,590,580,556,489,578,583,"585,0",2022
2022,1,1,IME027,1,PRECÁLCULO I,"3,6",REPROBADA,"13,33",,,,,,,,,468,596,551,493,687,711,"532,0",2022
2022,1,1,IME027,1,PRECÁLCULO I,"3,6",REPROBADA,"36,67",,,,,,,,,643,493,0,570,786,839,"568,0",2021
2022,1,1,IME027,1,PRECÁLCULO I,"3,6",REPROBADA,"43,33",,,,,,,,,466,559,0,468,483,483,"512,5",2021
2022,1,1,IME027,1,PRECÁLCULO I,"3,6",REPROBADA,"70,00",,,,,,,,,620,583,0,614,513,513,"601,5",2020
